ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: silica
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   40
Ending pos:   80
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.05985718             0.15870132             0.18856659             0.00000000
   2     0.05949554             0.15787201             0.18735809             0.00000000
   3     0.05973663             0.15881653             0.18860855             0.00000000
   4     0.06028519             0.15826721             0.18801651             0.00000000
   5     0.06125488             0.15876999             0.18903656             0.00000000
   6     0.05986023             0.15805664             0.18794861             0.00000000
   7     0.05954590             0.15800476             0.18756943             0.00000000
   8     0.06138916             0.15806274             0.18842468             0.00000000
   9     0.06078949             0.15841141             0.18861694             0.00000000
  10     0.06034851             0.15823517             0.18813248             0.00000000
  11     0.06022415             0.15730133             0.18709717             0.00000000
  12     0.06037292             0.15878448             0.18860245             0.00000000
  13     0.05930252             0.15730896             0.18686676             0.00000000
  14     0.05950699             0.15783463             0.18761597             0.00000000
  15     0.05953217             0.15819092             0.18782578             0.00000000
  16     0.05932007             0.15779800             0.18724976             0.00000000
  17     0.06077881             0.15878220             0.18878708             0.00000000
  18     0.06094055             0.15985870             0.19027405             0.00000000
  19     0.06015701             0.15853348             0.18845520             0.00000000
  20     0.05849228             0.15725861             0.18657379             0.00000000
  21     0.05882492             0.15835266             0.18778610             0.00000000
  22     0.06007690             0.15816040             0.18797531             0.00000000
  23     0.06035080             0.15885925             0.18888855             0.00000000
  24     0.06011887             0.15883026             0.18892365             0.00000000
  25     0.05978546             0.15862350             0.18841858             0.00000000
  26     0.06080551             0.15777817             0.18778534             0.00000000
  27     0.05941162             0.15869827             0.18839111             0.00000000
  28     0.05920181             0.15758514             0.18714981             0.00000000
  29     0.06062775             0.15861435             0.18866119             0.00000000
  30     0.05975571             0.15872040             0.18850708             0.00000000
  31     0.06015244             0.15844116             0.18841858             0.00000000
  32     0.05912552             0.15868301             0.18807297             0.00000000
  33     0.06037445             0.15899200             0.18905487             0.00000000
  34     0.06043777             0.15814056             0.18831635             0.00000000
  35     0.06003342             0.15808945             0.18807449             0.00000000
  36     0.06017380             0.15868530             0.18886261             0.00000000
  37     0.06050110             0.15872574             0.18899460             0.00000000
  38     0.06185532             0.15948563             0.18988571             0.00000000
  39     0.05899887             0.15800705             0.18754654             0.00000000
  40     0.06004105             0.15839844             0.18827438             0.00000000
  41     0.06182861             0.15962906             0.19012070             0.00000000
  42     0.06106033             0.15907516             0.18928909             0.00000000
  43     0.06064987             0.15954285             0.18979645             0.00000000
  44     0.06014557             0.15854797             0.18852310             0.00000000
  45     0.06001282             0.15902557             0.18907623             0.00000000
  46     0.05872803             0.15835037             0.18783798             0.00000000
  47     0.05823288             0.15736542             0.18662796             0.00000000
  48     0.05958099             0.15852814             0.18818512             0.00000000
  49     0.06065216             0.15817871             0.18815231             0.00000000
  50     0.05955887             0.15857468             0.18852997             0.00000000
