ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: dcm
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   80
Ending pos:   40
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.06144562             0.15739136             0.18581619             0.00000000
   2     0.06206970             0.15754776             0.18629074             0.00000000
   3     0.06171341             0.15706024             0.18565445             0.00000000
   4     0.06230850             0.15770264             0.18661118             0.00000000
   5     0.06136551             0.15722427             0.18564453             0.00000000
   6     0.06098251             0.15766754             0.18610535             0.00000000
   7     0.06146774             0.15767517             0.18616486             0.00000000
   8     0.06129150             0.15750885             0.18604050             0.00000000
   9     0.06079178             0.15621490             0.18410645             0.00000000
  10     0.06098709             0.15659790             0.18471375             0.00000000
  11     0.06176300             0.15732651             0.18594284             0.00000000
  12     0.06134415             0.15710068             0.18552628             0.00000000
  13     0.06306686             0.15797272             0.18722153             0.00000000
  14     0.06146240             0.15731125             0.18595810             0.00000000
  15     0.06065216             0.15744095             0.18578644             0.00000000
  16     0.06045227             0.15723419             0.18543396             0.00000000
  17     0.06160431             0.15698547             0.18549576             0.00000000
  18     0.06181946             0.15703888             0.18570328             0.00000000
  19     0.06237411             0.15714111             0.18593216             0.00000000
  20     0.06245880             0.15748444             0.18657455             0.00000000
  21     0.06211319             0.15653839             0.18521194             0.00000000
  22     0.06120148             0.15558472             0.18387070             0.00000000
  23     0.06058273             0.15540009             0.18339844             0.00000000
  24     0.06221848             0.15760193             0.18670273             0.00000000
  25     0.06242142             0.15822525             0.18729172             0.00000000
  26     0.06122894             0.15788193             0.18659897             0.00000000
  27     0.06240616             0.15742874             0.18645401             0.00000000
  28     0.06193619             0.15786591             0.18679276             0.00000000
  29     0.06066742             0.15762558             0.18611450             0.00000000
  30     0.06311951             0.15847702             0.18796768             0.00000000
  31     0.06380920             0.15882797             0.18880081             0.00000000
  32     0.06225281             0.15768967             0.18677216             0.00000000
  33     0.06134644             0.15733414             0.18609772             0.00000000
  34     0.06178970             0.15746155             0.18645630             0.00000000
  35     0.06058731             0.15692215             0.18550110             0.00000000
  36     0.06120529             0.15683289             0.18573303             0.00000000
  37     0.06236572             0.15790024             0.18732071             0.00000000
  38     0.06286011             0.15787888             0.18782043             0.00000000
  39     0.06168900             0.15683517             0.18570862             0.00000000
  40     0.06256790             0.15813904             0.18787842             0.00000000
  41     0.06103439             0.15734100             0.18635178             0.00000000
  42     0.06208191             0.15757675             0.18699646             0.00000000
  43     0.06117020             0.15720596             0.18611145             0.00000000
  44     0.06192780             0.15776978             0.18720779             0.00000000
  45     0.06113968             0.15709457             0.18608475             0.00000000
  46     0.06130829             0.15702515             0.18592377             0.00000000
  47     0.06134262             0.15680923             0.18577652             0.00000000
  48     0.06088409             0.15712738             0.18610077             0.00000000
  49     0.06151733             0.15711365             0.18616257             0.00000000
  50     0.06090317             0.15742493             0.18644562             0.00000000
