ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: mBP
Concentration: 0.4 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   40
Ending pos:   80
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.05043259             0.15460587             0.17643051             0.00000000
   2     0.05059433             0.15569458             0.17786102             0.00000000
   3     0.05102997             0.15483704             0.17691422             0.00000000
   4     0.05032120             0.15520554             0.17693558             0.00000000
   5     0.05095673             0.15520325             0.17711563             0.00000000
   6     0.05104141             0.15548325             0.17763138             0.00000000
   7     0.05084763             0.15723114             0.17994308             0.00000000
   8     0.05033340             0.15499649             0.17675552             0.00000000
   9     0.05010376             0.15533524             0.17713776             0.00000000
  10     0.05037231             0.15503387             0.17686386             0.00000000
  11     0.05155029             0.15570374             0.17801666             0.00000000
  12     0.04962387             0.15453415             0.17623749             0.00000000
  13     0.05069656             0.15496445             0.17680435             0.00000000
  14     0.05137329             0.15626678             0.17851791             0.00000000
  15     0.04985504             0.15547485             0.17727127             0.00000000
  16     0.04969482             0.15590668             0.17776871             0.00000000
  17     0.04934235             0.15476456             0.17628784             0.00000000
  18     0.04949112             0.15481567             0.17634201             0.00000000
  19     0.04933090             0.15516586             0.17679520             0.00000000
  20     0.04938354             0.15517349             0.17672882             0.00000000
  21     0.05089645             0.15590134             0.17812729             0.00000000
  22     0.04985657             0.15572433             0.17750778             0.00000000
  23     0.04920044             0.15536652             0.17697830             0.00000000
  24     0.04940338             0.15548401             0.17706909             0.00000000
  25     0.05102234             0.15598755             0.17815399             0.00000000
  26     0.04963226             0.15598221             0.17776871             0.00000000
  27     0.04972610             0.15577927             0.17765045             0.00000000
  28     0.05030899             0.15562973             0.17770462             0.00000000
  29     0.05083694             0.15595093             0.17811813             0.00000000
  30     0.05016556             0.15505066             0.17686844             0.00000000
  31     0.04937897             0.15521469             0.17676239             0.00000000
  32     0.04968262             0.15520172             0.17691345             0.00000000
  33     0.04993057             0.15547867             0.17729111             0.00000000
  34     0.04984283             0.15490265             0.17641602             0.00000000
  35     0.04979858             0.15577469             0.17745285             0.00000000
  36     0.04993134             0.15561218             0.17727203             0.00000000
  37     0.04933319             0.15529099             0.17681046             0.00000000
  38     0.05069122             0.15477295             0.17636490             0.00000000
  39     0.04916840             0.15535049             0.17696381             0.00000000
  40     0.05127945             0.15560837             0.17771988             0.00000000
  41     0.04992905             0.15529785             0.17692719             0.00000000
  42     0.05030746             0.15605011             0.17801132             0.00000000
  43     0.04978180             0.15521393             0.17684250             0.00000000
  44     0.04845352             0.15424805             0.17514496             0.00000000
  45     0.04942551             0.15521622             0.17663956             0.00000000
  46     0.05012665             0.15534592             0.17691422             0.00000000
  47     0.04939957             0.15524673             0.17668076             0.00000000
  48     0.04929199             0.15511475             0.17643661             0.00000000
  49     0.04900818             0.15533676             0.17648697             0.00000000
  50     0.05083313             0.15607986             0.17780228             0.00000000
