Z-scan Measurement
Code: 4-Me
Concentration: 0.00%
Wavelength: 475.0 nm

--------------------------------------------------------------------------------------------

Starting pos: 29.0
Ending pos: 69.0
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel

--------------------------------------------------------------------------------------------

SNo.  [V] Voltage Max        [V] Voltage Max        [V] Voltage Max        [V] Voltage Max

--------------------------------------------------------------------------------------------

   0     0.02113190             0.03049164             0.01741180             0.00000000
   1     0.02133713             0.03107452             0.01758881             0.00000000
   2     0.02117920             0.03031998             0.01741409             0.00000000
   3     0.02122421             0.03023453             0.01737671             0.00000000
   4     0.02130051             0.02968826             0.01734161             0.00000000
   5     0.02122879             0.03125229             0.01744308             0.00000000
   6     0.02146301             0.03130569             0.01770477             0.00000000
   7     0.02136688             0.03086243             0.01755142             0.00000000
   8     0.02132263             0.03085632             0.01745682             0.00000000
   9     0.02152939             0.03124084             0.01757278             0.00000000
  10     0.02153473             0.02988052             0.01743469             0.00000000
  11     0.02149277             0.03020020             0.01744308             0.00000000
  12     0.02146759             0.02883987             0.01725616             0.00000000
  13     0.02147903             0.03019028             0.01735687             0.00000000
  14     0.02167053             0.03053665             0.01751480             0.00000000
  15     0.02156601             0.03041306             0.01740646             0.00000000
  16     0.02159958             0.03075333             0.01747131             0.00000000
  17     0.02168579             0.03061676             0.01751022             0.00000000
  18     0.02171021             0.03058395             0.01749954             0.00000000
  19     0.02176361             0.03003845             0.01739502             0.00000000
  20     0.02177734             0.02999268             0.01739502             0.00000000
  21     0.02182312             0.02885437             0.01729355             0.00000000
  22     0.02176285             0.03034286             0.01735840             0.00000000
  23     0.02189331             0.02953262             0.01736145             0.00000000
  24     0.02200394             0.03133698             0.01763000             0.00000000
  25     0.02189331             0.03031235             0.01742172             0.00000000
  26     0.02213898             0.03069611             0.01757431             0.00000000
  27     0.02207870             0.03082047             0.01757050             0.00000000
  28     0.02215958             0.03088913             0.01758118             0.00000000
  29     0.02208328             0.02936020             0.01727142             0.00000000
  30     0.02232285             0.03096390             0.01763687             0.00000000
  31     0.02217636             0.03044281             0.01748810             0.00000000
  32     0.02218475             0.03047943             0.01742630             0.00000000
  33     0.02225266             0.03114929             0.01754074             0.00000000
  34     0.02233963             0.03086853             0.01753082             0.00000000
  35     0.02240219             0.03036423             0.01749878             0.00000000
  36     0.02239151             0.02980347             0.01741638             0.00000000
  37     0.02237549             0.03014526             0.01738434             0.00000000
  38     0.02246170             0.02989883             0.01744843             0.00000000
  39     0.02236710             0.02980728             0.01741562             0.00000000
  40     0.02247238             0.03025970             0.01741943             0.00000000
  41     0.02263031             0.03039856             0.01750565             0.00000000
  42     0.02256012             0.03048935             0.01748199             0.00000000
  43     0.02251129             0.02973404             0.01738892             0.00000000
  44     0.02262192             0.02982635             0.01738510             0.00000000
  45     0.02258301             0.03019867             0.01741943             0.00000000
  46     0.02276001             0.03077927             0.01756668             0.00000000
  47     0.02273483             0.03091125             0.01750183             0.00000000
  48     0.02265244             0.03056335             0.01749802             0.00000000
  49     0.02262421             0.03022003             0.01744919             0.00000000
  50     0.02287140             0.03027267             0.01752701             0.00000000
  51     0.02258987             0.03016739             0.01737900             0.00000000
