Z-scan Measurement
Code: silica
Concentration: 0.00%
Wavelength: 450.0 nm

--------------------------------------------------------------------------------------------

Starting pos: 29.0
Ending pos: 69.0
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel

--------------------------------------------------------------------------------------------

SNo.  [V] Voltage Max        [V] Voltage Max        [V] Voltage Max        [V] Voltage Max

--------------------------------------------------------------------------------------------

   0     0.04392853             0.04195175             0.04439621             0.00000000
   1     0.04249496             0.04200439             0.04377518             0.00000000
   2     0.04315491             0.04204254             0.04426727             0.00000000
   3     0.04063339             0.04189682             0.04318085             0.00000000
   4     0.03905029             0.04210052             0.04283524             0.00000000
   5     0.04140701             0.04196930             0.04372635             0.00000000
   6     0.03967667             0.04197464             0.04320068             0.00000000
   7     0.03976517             0.04180298             0.04294128             0.00000000
   8     0.04030380             0.04199295             0.04384079             0.00000000
   9     0.03771057             0.04209824             0.04297638             0.00000000
  10     0.03886261             0.04210739             0.04368134             0.00000000
  11     0.03895950             0.04207458             0.04364624             0.00000000
  12     0.03876419             0.04190292             0.04325104             0.00000000
  13     0.03904495             0.04198685             0.04313812             0.00000000
  14     0.04090042             0.04183350             0.04341202             0.00000000
  15     0.04311447             0.04181137             0.04373398             0.00000000
  16     0.04451447             0.04164734             0.04330673             0.00000000
  17     0.04583359             0.04188309             0.04333649             0.00000000
  18     0.04968719             0.04185486             0.04383469             0.00000000
  19     0.05431519             0.04193726             0.04460144             0.00000000
  20     0.05323029             0.04208832             0.04377975             0.00000000
  21     0.05575027             0.04198685             0.04375305             0.00000000
  22     0.05291519             0.04189606             0.04246826             0.00000000
  23     0.05571976             0.04210739             0.04302368             0.00000000
  24     0.05629654             0.04201279             0.04310074             0.00000000
  25     0.05702591             0.04209824             0.04334946             0.00000000
  26     0.05530701             0.04192657             0.04291077             0.00000000
  27     0.05749664             0.04213867             0.04386520             0.00000000
  28     0.05477524             0.04172516             0.04322815             0.00000000
  29     0.05505676             0.04222260             0.04447479             0.00000000
  30     0.04670258             0.04190521             0.04205933             0.00000000
  31     0.04356689             0.04164505             0.04147949             0.00000000
  32     0.04393311             0.04148941             0.04209213             0.00000000
  33     0.04504089             0.04216843             0.04340668             0.00000000
  34     0.04293442             0.04204712             0.04311066             0.00000000
  35     0.04216232             0.04217148             0.04312363             0.00000000
  36     0.04059753             0.04211884             0.04278183             0.00000000
  37     0.04015198             0.04228439             0.04302139             0.00000000
  38     0.04151611             0.04173965             0.04283066             0.00000000
  39     0.04033966             0.04219131             0.04271851             0.00000000
  40     0.03991013             0.04209595             0.04269333             0.00000000
  41     0.03483810             0.04210205             0.04081421             0.00000000
  42     0.04217834             0.04168472             0.04331741             0.00000000
  43     0.04285812             0.04188461             0.04378052             0.00000000
  44     0.04220505             0.04185028             0.04332123             0.00000000
  45     0.04112930             0.04209213             0.04331436             0.00000000
  46     0.03857117             0.04203720             0.04223022             0.00000000
  47     0.03793411             0.04198074             0.04158630             0.00000000
  48     0.04072647             0.04190826             0.04296570             0.00000000
  49     0.04044876             0.04147415             0.04210739             0.00000000
  50     0.04281311             0.04165649             0.04270706             0.00000000
