Z-scan Measurement
Code: RI93
Concentration: 0.00%
Wavelength: 450.0 nm

--------------------------------------------------------------------------------------------

Starting pos: 23.0
Ending pos: 63.0
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel

--------------------------------------------------------------------------------------------

SNo.  [V] Voltage Max        [V] Voltage Max        [V] Voltage Max        [V] Voltage Max

--------------------------------------------------------------------------------------------

   0     0.02670441             0.04554443             0.02675858             0.00000000
   1     0.02853012             0.04549179             0.02666779             0.00000000
   2     0.02882538             0.04556198             0.02653885             0.00000000
   3     0.02832870             0.04524384             0.02638931             0.00000000
   4     0.02938614             0.04499588             0.02663345             0.00000000
   5     0.02852478             0.04478455             0.02668915             0.00000000
   6     0.02839050             0.04449387             0.02626343             0.00000000
   7     0.02889557             0.04532089             0.02643967             0.00000000
   8     0.02877121             0.04523468             0.02690659             0.00000000
   9     0.02951584             0.04542160             0.02686691             0.00000000
  10     0.02839050             0.04491501             0.02645340             0.00000000
  11     0.03087769             0.04543228             0.02716446             0.00000000
  12     0.03028488             0.04545059             0.02672272             0.00000000
  13     0.02820129             0.04488144             0.02668457             0.00000000
  14     0.02792435             0.04489822             0.02623749             0.00000000
  15     0.02736053             0.04493790             0.02616806             0.00000000
  16     0.02804871             0.04515228             0.02651901             0.00000000
  17     0.03089447             0.04507523             0.02693787             0.00000000
  18     0.02800903             0.04486847             0.02631073             0.00000000
  19     0.02763901             0.04556732             0.02631912             0.00000000
  20     0.02806549             0.04491501             0.02693787             0.00000000
  21     0.02675171             0.04525909             0.02652054             0.00000000
  22     0.03025436             0.04526215             0.02742844             0.00000000
  23     0.03275909             0.04525528             0.02712326             0.00000000
  24     0.03070450             0.04501877             0.02680664             0.00000000
  25     0.03286514             0.04487152             0.02738190             0.00000000
  26     0.02761002             0.04528809             0.02574005             0.00000000
  27     0.02994843             0.04505386             0.02672119             0.00000000
  28     0.03033676             0.04586945             0.02672806             0.00000000
  29     0.02981186             0.04451065             0.02671890             0.00000000
  30     0.02998428             0.04483261             0.02692947             0.00000000
  31     0.03034515             0.04478226             0.02675171             0.00000000
  32     0.03089676             0.04504623             0.02673340             0.00000000
  33     0.02975769             0.04505997             0.02669601             0.00000000
  34     0.02987213             0.04547958             0.02664948             0.00000000
  35     0.02737503             0.04472046             0.02593994             0.00000000
  36     0.02795258             0.04525299             0.02657852             0.00000000
  37     0.02859573             0.04564667             0.02622070             0.00000000
  38     0.03113480             0.04555588             0.02690506             0.00000000
  39     0.02974548             0.04457703             0.02678986             0.00000000
  40     0.02857895             0.04531403             0.02656021             0.00000000
  41     0.02883606             0.04521484             0.02648087             0.00000000
  42     0.02881165             0.04459915             0.02650757             0.00000000
  43     0.02978973             0.04466782             0.02652893             0.00000000
  44     0.02973633             0.04497147             0.02663422             0.00000000
  45     0.02914581             0.04530716             0.02632294             0.00000000
  46     0.03030167             0.04510880             0.02657166             0.00000000
  47     0.02868500             0.04521637             0.02622986             0.00000000
  48     0.02832260             0.04476013             0.02620239             0.00000000
  49     0.02765427             0.04527435             0.02623444             0.00000000
  50     0.02808304             0.04556427             0.02617950             0.00000000
  51     0.02855988             0.04482574             0.02618408             0.00000000
