ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Voltage Vpp
Code: silica
Concentration: 0 %
Wavelength: 1600 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   40
Ending pos:   80
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.05985718             0.15870132             0.18856659             0.00000000
   2     0.05973663             0.15881653             0.18860855             0.00000000
   3     0.06125488             0.15876999             0.18903656             0.00000000
   4     0.05954590             0.15800476             0.18756943             0.00000000
   5     0.06078949             0.15841141             0.18861694             0.00000000
   6     0.06022415             0.15730133             0.18709717             0.00000000
   7     0.05930252             0.15730896             0.18686676             0.00000000
   8     0.05953217             0.15819092             0.18782578             0.00000000
   9     0.06077881             0.15878220             0.18878708             0.00000000
  10     0.06015701             0.15853348             0.18845520             0.00000000
  11     0.05882492             0.15835266             0.18778610             0.00000000
  12     0.06035080             0.15885925             0.18888855             0.00000000
  13     0.05978546             0.15862350             0.18841858             0.00000000
  14     0.05941162             0.15869827             0.18839111             0.00000000
  15     0.06062775             0.15861435             0.18866119             0.00000000
  16     0.06015244             0.15844116             0.18841858             0.00000000
  17     0.06037445             0.15899200             0.18905487             0.00000000
  18     0.06003342             0.15808945             0.18807449             0.00000000
  19     0.06050110             0.15872574             0.18899460             0.00000000
  20     0.05899887             0.15800705             0.18754654             0.00000000
  21     0.06182861             0.15962906             0.19012070             0.00000000
  22     0.06064987             0.15954285             0.18979645             0.00000000
  23     0.06001282             0.15902557             0.18907623             0.00000000
  24     0.05823288             0.15736542             0.18662796             0.00000000
  25     0.06065216             0.15817871             0.18815231             0.00000000
  26     0.05858612             0.15822220             0.18777542             0.00000000
  27     0.05929642             0.15819092             0.18827133             0.00000000
  28     0.05896454             0.15853424             0.18828583             0.00000000
  29     0.05788803             0.15803909             0.18733063             0.00000000
  30     0.05870743             0.15870285             0.18846664             0.00000000
  31     0.05851364             0.15903854             0.18896637             0.00000000
  32     0.05661011             0.15710754             0.18628082             0.00000000
  33     0.05895844             0.15927048             0.18963776             0.00000000
  34     0.05707703             0.15857468             0.18834839             0.00000000
  35     0.05692139             0.15870285             0.18868713             0.00000000
  36     0.05643387             0.15883789             0.18886414             0.00000000
  37     0.05690765             0.15901260             0.18933105             0.00000000
  38     0.05487900             0.15799408             0.18731003             0.00000000
  39     0.05572128             0.15921402             0.18955917             0.00000000
  40     0.05407486             0.15837097             0.18800354             0.00000000
  41     0.05455475             0.15819168             0.18801651             0.00000000
  42     0.05358124             0.15834045             0.18798981             0.00000000
  43     0.05441895             0.15991058             0.19009171             0.00000000
  44     0.05292740             0.15879135             0.18805466             0.00000000
  45     0.05213013             0.15914917             0.18766861             0.00000000
  46     0.05180969             0.15731583             0.18548279             0.00000000
  47     0.05270233             0.15858383             0.18713074             0.00000000
  48     0.05244217             0.15865631             0.18680878             0.00000000
  49     0.05320663             0.15833664             0.18717575             0.00000000
  50     0.05472031             0.15829010             0.18802567             0.00000000
